frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
6,2.0,[246.6851899488758 462.20346549910533 476.9705705636139 670.378965428331],[316.9866027832031 602.8994140625 399.2063293457031 628.89599609375],0.5226472616195679,MX13MFU,0.23732911702748355
7,2.0,[245.88663766089792 462.45589178459034 476.38820536061246 670.7953162410239],[316.9458923339844 602.904052734375 399.2457580566406 628.89697265625],0.5253827571868896,MX13MFU,0.23732911702748355
33,5.0,[731.8580880344495 407.52889554437974 943.8716328289987 612.800034205893],[810.5462646484375 553.7122802734375 870.2069091796875 574.9649658203125],0.6112149357795715,HL51KSV,0.08477924446843127
98,5.0,[741.5551110288441 464.1132742490347 978.0744801158796 696.8393880526726],[825.7633666992188 630.2100830078125 893.4028930664062 653.8079833984375],0.6347704529762268,NU51YSU,0.2535861211625051
131,5.0,[750.12690644451 500.8126599958068 988.6881698139343 716.3505445155993],[838.59716796875 674.940673828125 909.025146484375 698.657470703125],0.7043035626411438,KW51YSV,0.05713482398302168
141,6.0,[354.07570409147047 418.3824887434717 564.1578860204046 584.4303249198672],[434.7030029296875 530.5984497070312 486.0703125 550.6746215820312],0.3217605948448181,GY15OGJ,0.1880243610560213
156,6.0,[343.6826355397309 428.904456006637 563.8845615757131 600.4365158267133],[420.6573181152344 543.4281005859375 482.6383972167969 564.6982421875],0.4749278128147125,CI15UGJ,0.11578130872501138
157,6.0,[343.31923451628256 429.0306509238737 563.9034887489008 600.9834041894546],[420.6014709472656 543.4239501953125 482.6374206542969 564.7032470703125],0.4738941490650177,CI15UGJ,0.11578130872501138
378,7.0,[319.43780533037614 442.19951963458107 511.66563978619 609.9634136677705],[386.661865234375 550.6746826171875 448.3795166015625 572.277587890625],0.2877798080444336,KH05ZTK,0.45339749504635296
379,7.0,[318.7076830545975 442.9051165917755 511.9436259414972 610.4981658255443],[386.66864013671875 550.6831665039062 448.3836669921875 572.2827758789062],0.287626177072525,KH05ZTK,0.45339749504635296
383,7.0,[315.8095291823146 447.3997352499231 510.4950535452398 615.9870989004447],[380.19207763671875 554.3721313476562 447.43756103515625 575.2542114257812],0.5602023601531982,KH05ZIK,0.17716384240946315
